Date (UTC),Flux
8/1/2008,7.55E-08
9/1/2008,4.49E-08
10/1/2008,5.47E-08
11/1/2008,7.54E-08
12/1/2008,4.84E-08
1/1/2009,3.85E-08
2/1/2009,3.07E-08
3/1/2009,3.33E-08
4/1/2009,4.02E-08
5/1/2009,3.12E-08
6/1/2009,2.38E-08
7/1/2009,3.05E-08
8/1/2009,3.78E-08
9/1/2009,6.31E-08
10/1/2009,6.41E-08
11/1/2009,3.39E-08
12/1/2009,3.81E-08
1/1/2010,4.08E-08
2/1/2010,4.17E-08
3/1/2010,6.01E-08
4/1/2010,6.52E-08
5/1/2010,7.06E-08
6/1/2010,5.96E-08
7/1/2010,9.02E-08
8/1/2010,7.78E-08
9/1/2010,4.66E-08
10/1/2010,8.50E-08
11/1/2010,4.75E-08
12/1/2010,4.69E-08
1/1/2011,2.10E-08
2/1/2011,3.95E-08
3/1/2011,3.59E-08
4/1/2011,2.97E-08
5/1/2011,2.52E-08
6/1/2011,2.64E-08
7/1/2011,4.32E-08
8/1/2011,4.22E-08
9/1/2011,3.67E-08
10/1/2011,3.64E-08
11/1/2011,6.82E-08
12/1/2011,4.23E-08
1/1/2012,4.65E-08
2/1/2012,4.91E-08
3/1/2012,3.50E-08
4/1/2012,4.60E-08
5/1/2012,4.15E-08
6/1/2012,4.92E-08
7/1/2012,3.34E-08
8/1/2012,4.30E-08
9/1/2012,5.97E-08
10/1/2012,8.41E-08
11/1/2012,5.89E-08
12/1/2012,5.24E-08
1/1/2013,4.12E-08
2/1/2013,3.52E-08
3/1/2013,5.74E-08
4/1/2013,4.11E-08
5/1/2013,3.88E-08
6/1/2013,3.78E-08
7/1/2013,2.44E-08
8/1/2013,3.10E-08
9/1/2013,3.24E-08
10/1/2013,2.82E-08
11/1/2013,3.33E-08
12/1/2013,4.43E-08
1/1/2014,4.12E-08
2/1/2014,4.11E-08
3/1/2014,4.55E-08
4/1/2014,4.38E-08
5/1/2014,5.01E-08
6/1/2014,3.19E-08
7/1/2014,4.44E-08
8/1/2014,4.16E-08
9/1/2014,4.22E-08
10/1/2014,5.96E-08
11/1/2014,4.50E-08
12/1/2014,6.31E-08
1/1/2015,1.01E-07
2/1/2015,7.17E-08
3/1/2015,5.96E-08
4/1/2015,7.42E-08
5/1/2015,5.30E-08
6/1/2015,5.10E-08
7/1/2015,5.63E-08
8/1/2015,5.16E-08
9/1/2015,5.81E-08
10/1/2015,5.28E-08
11/1/2015,3.24E-08
12/1/2015,5.68E-08
1/1/2016,3.48E-08
2/1/2016,3.09E-08
3/1/2016,2.24E-08
4/1/2016,3.70E-08
5/1/2016,4.55E-08
6/1/2016,8.51E-08
7/1/2016,6.56E-08
8/1/2016,5.37E-08
9/1/2016,5.56E-08
10/1/2016,4.32E-08
11/1/2016,7.63E-08
12/1/2016,7.03E-08
1/1/2017,1.07E-07
2/1/2017,6.12E-08
3/1/2017,5.57E-08
4/1/2017,5.81E-08
5/1/2017,4.30E-08
6/1/2017,5.99E-08
7/1/2017,5.74E-08
8/1/2017,7.10E-08
9/1/2017,6.53E-08
10/1/2017,4.74E-08
11/1/2017,4.82E-08
12/1/2017,5.65E-08
1/1/2018,6.89E-08
2/1/2018,4.73E-08
3/1/2018,4.75E-08
4/1/2018,4.53E-08
5/1/2018,7.93E-08
6/1/2018,5.39E-08
7/1/2018,6.49E-08
8/1/2018,3.85E-08
9/1/2018,3.90E-08
10/1/2018,4.41E-08
11/1/2018,5.58E-08
12/1/2018,5.65E-08
1/1/2019,5.77E-08
2/1/2019,8.58E-08
3/1/2019,9.84E-08
4/1/2019,8.53E-08
5/1/2019,9.72E-08
6/1/2019,9.15E-08
7/1/2019,6.10E-08
8/1/2019,5.29E-08
9/1/2019,5.72E-08
10/1/2019,7.25E-08
11/1/2019,5.99E-08
12/1/2019,2.39E-08
1/1/2020,7.54E-08
2/1/2020,5.45E-08
3/1/2020,4.50E-08
4/1/2020,6.36E-08
5/1/2020,7.64E-08
6/1/2020,4.24E-08
7/1/2020,8.38E-08
8/1/2020,9.26E-08
9/1/2020,7.94E-08
10/1/2020,6.10E-08
11/1/2020,6.51E-08
12/1/2020,8.33E-08
1/1/2021,1.51E-07
2/1/2021,1.00E-07
3/1/2021,9.68E-08
4/1/2021,1.44E-07
5/1/2021,7.03E-08
6/1/2021,1.38E-07
7/1/2021,1.29E-07
8/1/2021,8.37E-08
9/1/2021,8.31E-08
10/1/2021,7.09E-08
11/1/2021,8.28E-08
12/1/2021,8.15E-08
1/1/2022,1.05E-07
2/1/2022,8.62E-08
3/1/2022,6.49E-08
4/1/2022,3.67E-08
5/1/2022,6.27E-08
6/1/2022,5.01E-08
7/1/2022,5.09E-08
8/1/2022,5.25E-08
9/1/2022,4.60E-08
10/1/2022,7.22E-08
11/1/2022,8.17E-08
12/1/2022,5.67E-08
1/1/2023,5.84E-08
2/1/2023,5.25E-08
3/1/2023,6.30E-08
4/1/2023,1.16E-07
5/1/2023,9.81E-08
6/1/2023,9.86E-08
7/1/2023,1.27E-07
8/1/2023,9.52E-08
9/1/2023,8.04E-08
10/1/2023,7.85E-08
11/1/2023,6.60E-08
