Date (UTC),Flux
8/1/2008,2.41E-07
9/1/2008,1.54E-07
10/1/2008,1.89E-07
11/1/2008,1.54E-07
12/1/2008,1.37E-07
1/1/2009,1.77E-07
2/1/2009,1.44E-07
3/1/2009,1.44E-07
4/1/2009,2.41E-07
5/1/2009,2.25E-07
6/1/2009,1.26E-07
7/1/2009,1.90E-07
8/1/2009,1.44E-07
9/1/2009,9.39E-08
10/1/2009,6.54E-08
11/1/2009,1.15E-07
12/1/2009,9.30E-08
1/1/2010,8.60E-08
2/1/2010,5.23E-08
3/1/2010,8.30E-08
4/1/2010,1.06E-07
5/1/2010,1.14E-07
6/1/2010,1.85E-07
7/1/2010,1.24E-07
8/1/2010,9.79E-08
9/1/2010,1.79E-07
10/1/2010,1.78E-07
11/1/2010,2.25E-07
12/1/2010,2.29E-07
1/1/2011,1.43E-07
2/1/2011,1.44E-07
3/1/2011,1.91E-07
4/1/2011,1.51E-07
5/1/2011,1.37E-07
6/1/2011,1.46E-07
7/1/2011,8.15E-08
8/1/2011,7.50E-08
9/1/2011,9.51E-08
10/1/2011,8.22E-08
11/1/2011,9.88E-08
12/1/2011,9.59E-08
1/1/2012,5.82E-08
2/1/2012,5.94E-08
3/1/2012,7.14E-08
4/1/2012,1.13E-07
5/1/2012,8.09E-08
6/1/2012,7.59E-08
7/1/2012,1.10E-07
8/1/2012,1.07E-07
9/1/2012,9.46E-08
10/1/2012,9.27E-08
11/1/2012,1.42E-07
12/1/2012,1.40E-07
1/1/2013,8.74E-08
2/1/2013,1.06E-07
3/1/2013,1.26E-07
4/1/2013,7.64E-08
5/1/2013,7.94E-08
6/1/2013,8.53E-08
7/1/2013,7.53E-08
8/1/2013,1.00E-07
9/1/2013,1.18E-07
10/1/2013,8.37E-08
11/1/2013,5.38E-08
12/1/2013,6.03E-08
1/1/2014,9.38E-08
2/1/2014,5.41E-08
3/1/2014,7.69E-08
4/1/2014,1.68E-07
5/1/2014,1.59E-07
6/1/2014,3.88E-07
7/1/2014,1.02E-07
8/1/2014,8.56E-08
9/1/2014,9.30E-08
10/1/2014,8.27E-08
11/1/2014,5.04E-08
12/1/2014,5.41E-08
1/1/2015,8.09E-08
2/1/2015,9.51E-08
3/1/2015,5.74E-08
4/1/2015,5.65E-08
5/1/2015,4.65E-08
6/1/2015,5.28E-08
7/1/2015,9.27E-08
8/1/2015,1.06E-07
9/1/2015,8.00E-08
10/1/2015,1.20E-07
11/1/2015,1.04E-07
12/1/2015,1.36E-07
1/1/2016,2.43E-07
2/1/2016,1.35E-07
3/1/2016,1.34E-07
4/1/2016,1.11E-07
5/1/2016,1.52E-07
6/1/2016,1.59E-07
7/1/2016,1.62E-07
8/1/2016,1.91E-07
9/1/2016,9.67E-08
10/1/2016,8.42E-08
11/1/2016,1.17E-07
12/1/2016,3.63E-08
1/1/2017,1.33E-07
2/1/2017,1.02E-07
3/1/2017,2.03E-07
4/1/2017,2.21E-07
5/1/2017,1.76E-07
6/1/2017,1.70E-07
7/1/2017,1.65E-07
8/1/2017,1.51E-07
9/1/2017,1.12E-07
10/1/2017,1.16E-07
11/1/2017,1.27E-07
12/1/2017,1.92E-07
1/1/2018,2.34E-07
2/1/2018,1.45E-07
3/1/2018,1.10E-07
4/1/2018,1.26E-07
5/1/2018,1.20E-07
6/1/2018,6.50E-08
7/1/2018,7.69E-08
8/1/2018,6.83E-08
9/1/2018,6.03E-08
10/1/2018,9.44E-08
11/1/2018,1.34E-07
12/1/2018,1.30E-07
1/1/2019,2.49E-07
2/1/2019,2.08E-07
3/1/2019,1.05E-07
4/1/2019,1.49E-07
5/1/2019,9.80E-08
6/1/2019,1.06E-07
7/1/2019,6.94E-08
8/1/2019,6.14E-08
9/1/2019,5.58E-08
10/1/2019,9.30E-08
11/1/2019,6.87E-08
12/1/2019,1.02E-07
1/1/2020,1.97E-07
2/1/2020,9.95E-08
3/1/2020,4.06E-08
4/1/2020,4.77E-08
5/1/2020,4.64E-08
6/1/2020,9.33E-08
7/1/2020,6.28E-08
8/1/2020,3.99E-08
9/1/2020,2.71E-08
10/1/2020,4.73E-08
11/1/2020,3.62E-08
12/1/2020,6.82E-08
1/1/2021,9.30E-08
2/1/2021,1.20E-07
3/1/2021,1.90E-07
4/1/2021,9.90E-08
5/1/2021,7.08E-08
6/1/2021,6.47E-08
7/1/2021,9.80E-08
8/1/2021,8.12E-08
9/1/2021,6.35E-08
10/1/2021,5.62E-08
11/1/2021,6.89E-08
12/1/2021,6.70E-08
1/1/2022,7.10E-08
2/1/2022,9.49E-08
3/1/2022,9.33E-08
4/1/2022,1.45E-07
5/1/2022,9.43E-08
6/1/2022,8.77E-08
7/1/2022,9.79E-08
8/1/2022,5.88E-08
9/1/2022,1.69E-08
10/1/2022,9.71E-08
11/1/2022,6.77E-08
12/1/2022,8.46E-08
1/1/2023,5.64E-08
2/1/2023,4.70E-08
3/1/2023,6.92E-08
4/1/2023,8.59E-08
5/1/2023,1.15E-07
6/1/2023,1.45E-07
7/1/2023,4.84E-08
8/1/2023,6.03E-08
9/1/2023,7.69E-08
10/1/2023,9.07E-08
11/1/2023,1.25E-07
12/1/2023,1.33E-07
1/1/2024,1.17E-07
2/1/2024,1.50E-07
3/1/2024,7.58E-08
4/1/2024,4.81E-08
5/1/2024,1.24E-07
6/1/2024,1.27E-07
7/1/2024,1.13E-07
8/1/2024,9.88E-08
9/1/2024,7.22E-08
10/1/2024,4.59E-08
11/1/2024,7.00E-08
12/1/2024,9.19E-08
1/1/2025,1.07E-07
