Date (UTC),Flux,
11/1/2008,1.73E-08,
1/1/2009,7.32E-09,
3/1/2009,1.46E-08,
4/1/2009,2.10E-08,
5/1/2009,9.01E-09,
6/1/2009,5.72E-09,
7/1/2009,3.22E-08,
8/1/2009,8.32E-09,
9/1/2009,1.74E-08,
10/1/2009,1.92E-08,
11/1/2009,2.93E-08,
12/1/2009,9.12E-09,
1/1/2010,2.32E-08,
2/1/2010,4.70E-08,
3/1/2010,1.28E-08,
4/1/2010,2.65E-08,
5/1/2010,2.20E-08,
6/1/2010,4.10E-08,
7/1/2010,2.77E-08,
8/1/2010,3.08E-08,
9/1/2010,3.71E-08,
10/1/2010,3.52E-08,
11/1/2010,3.69E-08,
12/1/2010,7.44E-08,
1/1/2011,6.09E-08,
2/1/2011,5.51E-08,
3/1/2011,2.71E-08,
4/1/2011,4.27E-08,
5/1/2011,3.02E-08,
6/1/2011,4.59E-08,
7/1/2011,3.91E-08,
8/1/2011,6.31E-08,
9/1/2011,6.31E-08,
10/1/2011,6.32E-08,
11/1/2011,3.95E-08,
12/1/2011,5.32E-08,
1/1/2012,4.10E-08,
2/1/2012,4.42E-08,
3/1/2012,4.06E-08,
4/1/2012,1.60E-08,
5/1/2012,2.61E-08,
6/1/2012,1.90E-08,
7/1/2012,4.47E-08,
8/1/2012,1.26E-08,
9/1/2012,2.36E-08,
10/1/2012,3.47E-08,
11/1/2012,6.42E-09,
12/1/2012,2.64E-08,
2/1/2013,3.31E-08,
6/1/2013,5.73E-08,
8/1/2013,5.35E-10,
10/1/2013,7.07E-09,
11/1/2013,1.95E-08,
12/1/2013,2.68E-08,
1/1/2014,2.90E-08,
2/1/2014,4.86E-08,
3/1/2014,3.68E-08,
4/1/2014,3.26E-09,
5/1/2014,5.43E-08,
6/1/2014,6.44E-08,
7/1/2014,8.49E-08,
8/1/2014,2.25E-08,
10/1/2014,4.69E-08,
11/1/2014,6.00E-08,
12/1/2014,5.96E-08,
1/1/2015,6.21E-08,
2/1/2015,6.77E-08,
3/1/2015,7.12E-08,
4/1/2015,8.96E-08,
5/1/2015,5.03E-08,
6/1/2015,3.18E-08,
7/1/2015,6.01E-08,
8/1/2015,5.02E-08,
9/1/2015,3.10E-08,
10/1/2015,7.16E-08,
11/1/2015,7.65E-08,
12/1/2015,6.14E-08,
1/1/2016,1.06E-07,
2/1/2016,7.58E-08,
3/1/2016,7.72E-08,
4/1/2016,6.93E-08,
5/1/2016,7.33E-08,
6/1/2016,4.78E-08,
7/1/2016,7.62E-08,
8/1/2016,5.51E-08,
9/1/2016,4.63E-08,
10/1/2016,5.10E-08,
11/1/2016,2.37E-08,
12/1/2016,1.72E-08,
1/1/2017,1.86E-08,
2/1/2017,6.40E-08,
3/1/2017,3.65E-08,
4/1/2017,4.55E-08,
5/1/2017,6.39E-08,
6/1/2017,2.65E-08,
7/1/2017,5.93E-08,
8/1/2017,5.90E-08,
9/1/2017,4.34E-08,
10/1/2017,6.16E-08,
11/1/2017,1.04E-08,
12/1/2017,1.13E-08,
4/1/2018,2.28E-08,
8/1/2018,5.37E-08,
9/1/2018,5.13E-08,
10/1/2018,6.93E-08,
11/1/2018,4.48E-08,
12/1/2018,4.82E-08,
1/1/2019,5.25E-08,
2/1/2019,6.06E-08,
3/1/2019,5.85E-08,
4/1/2019,4.00E-08,
5/1/2019,8.22E-08,
6/1/2019,5.92E-08,
7/1/2019,6.87E-08,
8/1/2019,4.61E-08,
9/1/2019,6.54E-08,
10/1/2019,6.63E-08,
11/1/2019,3.19E-08,
12/1/2019,1.32E-07,
1/1/2020,1.06E-07,
2/1/2020,7.74E-08,
3/1/2020,3.84E-08,
4/1/2020,3.17E-08,
5/1/2020,5.13E-08,
6/1/2020,4.55E-08,
7/1/2020,5.19E-08,
8/1/2020,2.82E-08,
9/1/2020,2.48E-08,
10/1/2020,2.89E-08,
11/1/2020,1.11E-08,
1/1/2021,2.24E-08,
3/1/2021,4.52E-08,
4/1/2021,1.98E-08,
5/1/2021,3.89E-08,
10/1/2021,7.45E-09,
1/1/2022,4.08E-08,
5/1/2022,1.79E-08,
6/1/2022,7.44E-08,
7/1/2022,3.07E-08,
8/1/2022,2.92E-08,
10/1/2022,3.21E-08,
11/1/2022,3.63E-08,
12/1/2022,4.18E-08,
1/1/2023,6.03E-08,
2/1/2023,6.53E-08,
3/1/2023,3.94E-08,
4/1/2023,2.35E-08,
5/1/2023,1.30E-08,
6/1/2023,7.27E-09,
7/1/2023,1.87E-08,
8/1/2023,6.26E-08,
9/1/2023,3.56E-08,
10/1/2023,2.10E-08,
11/1/2023,5.06E-08,
12/1/2023,1.03E-08,
1/1/2024,1.56E-08,
2/1/2024,4.65E-08,
3/1/2024,4.08E-08,
4/1/2024,1.98E-08,
5/1/2024,2.31E-08,
6/1/2024,6.36E-08,
7/1/2024,3.95E-08,
8/1/2024,4.31E-08,
9/1/2024,4.83E-08,
10/1/2024,6.98E-08,
11/1/2024,3.57E-08,
12/1/2024,2.75E-08,
1/1/2025,1.57E-08,
