Date (UTC),Flux
9/1/2008,1.04E-08
10/1/2008,1.81E-08
1/1/2009,1.18E-08
2/1/2009,3.18E-08
3/1/2009,1.87E-08
4/1/2009,2.69E-08
5/1/2009,1.69E-08
6/1/2009,2.77E-08
8/1/2009,3.82E-08
9/1/2009,2.32E-08
10/1/2009,2.42E-08
11/1/2009,4.29E-08
12/1/2009,1.23E-08
1/1/2010,1.85E-08
3/1/2010,3.95E-08
4/1/2010,3.08E-08
6/1/2010,2.00E-08
7/1/2010,2.92E-08
8/1/2010,1.23E-08
12/1/2010,2.06E-08
1/1/2011,1.68E-08
3/1/2011,5.13E-08
4/1/2011,5.74E-08
5/1/2011,2.52E-08
6/1/2011,2.97E-08
7/1/2011,2.37E-08
8/1/2011,5.73E-08
9/1/2011,3.36E-08
10/1/2011,4.05E-08
11/1/2011,3.39E-08
12/1/2011,4.76E-08
1/1/2012,2.35E-08
2/1/2012,3.88E-08
3/1/2012,5.81E-08
4/1/2012,5.69E-08
5/1/2012,2.77E-08
6/1/2012,4.38E-08
7/1/2012,2.81E-08
8/1/2012,2.40E-08
9/1/2012,4.35E-08
10/1/2012,5.16E-08
11/1/2012,3.61E-08
12/1/2012,4.54E-08
1/1/2013,2.72E-08
2/1/2013,2.65E-08
3/1/2013,1.88E-08
12/1/2013,2.80E-08
1/1/2014,1.96E-08
3/1/2014,2.94E-08
5/1/2014,2.15E-08
6/1/2014,2.53E-08
7/1/2014,1.95E-08
8/1/2014,2.74E-08
11/1/2014,2.76E-08
12/1/2014,3.78E-08
1/1/2015,1.62E-08
2/1/2015,1.71E-08
3/1/2015,2.29E-08
4/1/2015,2.86E-08
5/1/2015,2.08E-08
6/1/2015,3.39E-08
7/1/2015,2.22E-08
8/1/2015,2.17E-08
9/1/2015,1.84E-08
10/1/2015,2.92E-08
12/1/2015,2.27E-08
1/1/2016,2.71E-08
2/1/2016,1.31E-08
7/1/2016,2.48E-08
9/1/2016,2.13E-08
10/1/2016,3.89E-08
11/1/2016,1.30E-08
12/1/2016,6.20E-08
1/1/2017,5.31E-08
2/1/2017,5.04E-08
3/1/2017,4.93E-08
4/1/2017,4.93E-08
5/1/2017,3.08E-08
6/1/2017,4.97E-08
7/1/2017,7.36E-08
8/1/2017,4.38E-08
9/1/2017,2.54E-08
10/1/2017,4.57E-08
11/1/2017,7.50E-08
12/1/2017,8.39E-08
1/1/2018,7.56E-08
2/1/2018,7.07E-08
3/1/2018,9.12E-08
4/1/2018,7.38E-08
6/1/2018,5.95E-08
7/1/2018,4.34E-08
8/1/2018,6.97E-08
9/1/2018,4.22E-08
10/1/2018,8.13E-08
11/1/2018,1.63E-07
12/1/2018,7.95E-08
1/1/2019,1.23E-07
2/1/2019,1.47E-07
3/1/2019,1.50E-07
4/1/2019,8.80E-08
5/1/2019,6.82E-08
6/1/2019,4.87E-08
7/1/2019,4.78E-08
8/1/2019,7.10E-08
9/1/2019,3.84E-08
10/1/2019,3.57E-08
11/1/2019,6.97E-08
12/1/2019,3.84E-08
1/1/2020,5.12E-08
2/1/2020,3.68E-08
3/1/2020,1.72E-08
4/1/2020,1.69E-08
5/1/2020,2.31E-08
6/1/2020,4.50E-08
8/1/2020,1.12E-07
9/1/2020,6.28E-08
10/1/2020,6.05E-08
11/1/2020,6.29E-08
12/1/2020,7.04E-08
1/1/2021,3.93E-08
2/1/2021,5.86E-08
3/1/2021,6.56E-08
4/1/2021,4.54E-08
5/1/2021,1.21E-07
6/1/2021,6.49E-08
7/1/2021,4.59E-08
8/1/2021,5.53E-08
9/1/2021,5.48E-08
10/1/2021,8.86E-08
11/1/2021,1.04E-07
12/1/2021,1.22E-07
1/1/2022,1.46E-07
2/1/2022,9.07E-08
3/1/2022,9.13E-08
4/1/2022,1.17E-07
5/1/2022,1.08E-07
6/1/2022,1.40E-07
7/1/2022,1.03E-07
8/1/2022,9.32E-08
9/1/2022,9.85E-08
10/1/2022,1.44E-07
11/1/2022,1.37E-07
12/1/2022,4.53E-08
1/1/2023,1.08E-07
2/1/2023,9.80E-08
3/1/2023,1.44E-07
4/1/2023,1.60E-07
5/1/2023,1.83E-07
6/1/2023,1.78E-07
7/1/2023,1.22E-07
8/1/2023,8.41E-08
9/1/2023,5.84E-08
10/1/2023,1.36E-07
11/1/2023,1.35E-07
12/1/2023,2.29E-07
1/1/2024,1.41E-07
2/1/2024,1.06E-07
3/1/2024,6.66E-08
4/1/2024,4.46E-08
5/1/2024,4.22E-08
6/1/2024,6.72E-08
7/1/2024,6.58E-08
8/1/2024,9.08E-08
9/1/2024,9.61E-08
10/1/2024,9.13E-08
11/1/2024,6.15E-08
12/1/2024,6.08E-08
1/1/2025,3.76E-08
2/1/2025,4.11E-08
3/1/2025,4.04E-08
4/1/2025,6.13E-08
