Date (UTC),Flux,
9/1/2008,3.57E-08,
10/1/2008,2.15E-08,
11/1/2008,2.62E-08,
12/1/2008,2.74E-08,
2/1/2009,1.57E-08,
3/1/2009,2.38E-08,
4/1/2009,3.28E-08,
5/1/2009,2.66E-08,
6/1/2009,3.70E-08,
7/1/2009,9.61E-08,
8/1/2009,6.31E-08,
9/1/2009,6.86E-08,
10/1/2009,2.16E-08,
11/1/2009,2.59E-08,
12/1/2009,4.58E-08,
1/1/2010,5.74E-08,
2/1/2010,1.98E-08,
3/1/2010,3.14E-08,
4/1/2010,6.74E-08,
5/1/2010,8.73E-08,
6/1/2010,7.86E-08,
7/1/2010,4.82E-08,
8/1/2010,4.85E-08,
9/1/2010,2.25E-08,
10/1/2010,6.02E-08,
11/1/2010,9.45E-08,
12/1/2010,1.09E-07,
1/1/2011,9.45E-08,
2/1/2011,7.50E-08,
3/1/2011,8.91E-08,
4/1/2011,7.27E-08,
5/1/2011,8.19E-08,
6/1/2011,2.23E-08,
7/1/2011,4.62E-08,
8/1/2011,9.63E-08,
9/1/2011,8.56E-08,
10/1/2011,1.22E-07,
11/1/2011,3.72E-08,
12/1/2011,4.10E-08,
1/1/2012,7.43E-08,
3/1/2012,3.26E-08,
4/1/2012,4.01E-08,
5/1/2012,2.54E-08,
6/1/2012,2.92E-08,
7/1/2012,6.53E-08,
8/1/2012,5.51E-08,
9/1/2012,9.62E-08,
10/1/2012,1.86E-07,
11/1/2012,1.34E-07,
12/1/2012,8.78E-08,
1/1/2013,2.20E-07,
2/1/2013,1.98E-07,
3/1/2013,3.35E-07,
4/1/2013,2.12E-07,
5/1/2013,2.57E-07,
6/1/2013,2.20E-07,
7/1/2013,2.11E-07,
8/1/2013,1.70E-07,
9/1/2013,3.23E-07,
10/1/2013,2.64E-07,
11/1/2013,3.36E-07,
12/1/2013,5.57E-07,
1/1/2014,3.72E-07,
2/1/2014,4.81E-07,
3/1/2014,4.68E-07,
4/1/2014,2.45E-07,
5/1/2014,2.52E-07,
6/1/2014,1.43E-07,
7/1/2014,4.43E-08,
8/1/2014,1.32E-08,
9/1/2014,1.20E-08,
11/1/2014,1.60E-08,
2/1/2015,1.05E-07,
3/1/2015,1.13E-07,
8/1/2015,2.69E-08,
9/1/2015,3.03E-08,
10/1/2015,5.73E-08,
11/1/2015,2.73E-08,
12/1/2015,4.82E-08,
1/1/2016,6.42E-08,
2/1/2016,1.30E-07,
3/1/2016,1.54E-07,
4/1/2016,2.08E-07,
5/1/2016,4.03E-07,
6/1/2016,4.36E-07,
7/1/2016,3.32E-07,
8/1/2016,5.73E-07,
9/1/2016,4.10E-07,
10/1/2016,3.09E-07,
11/1/2016,1.48E-07,
12/1/2016,3.96E-07,
1/1/2017,5.94E-07,
2/1/2017,5.29E-07,
3/1/2017,5.44E-07,
4/1/2017,3.51E-07,
5/1/2017,5.54E-07,
6/1/2017,2.03E-07,
7/1/2017,2.10E-07,
8/1/2017,1.97E-07,
9/1/2017,9.44E-08,
10/1/2017,6.25E-08,
11/1/2017,7.29E-08,
12/1/2017,4.77E-09,
1/1/2018,3.80E-08,
4/1/2018,4.65E-08,
5/1/2018,2.72E-08,
6/1/2018,9.95E-08,
7/1/2018,5.57E-08,
8/1/2018,7.75E-08,
9/1/2018,4.01E-08,
10/1/2018,2.57E-08,
11/1/2018,5.53E-08,
12/1/2018,8.07E-08,
1/1/2019,9.80E-08,
2/1/2019,1.55E-07,
3/1/2019,1.74E-07,
4/1/2019,1.34E-07,
5/1/2019,5.72E-08,
6/1/2019,2.02E-07,
7/1/2019,1.96E-07,
8/1/2019,5.19E-07,
9/1/2019,7.89E-07,
10/1/2019,3.49E-07,
11/1/2019,5.47E-07,
12/1/2019,5.68E-07,
1/1/2020,4.24E-07,
2/1/2020,3.75E-07,
3/1/2020,4.87E-07,
4/1/2020,6.41E-07,
5/1/2020,4.20E-07,
6/1/2020,1.81E-07,
7/1/2020,1.82E-07,
8/1/2020,1.46E-07,
9/1/2020,7.70E-08,
10/1/2020,3.36E-08,
11/1/2020,4.81E-08,
12/1/2020,3.86E-08,
1/1/2021,6.42E-08,
2/1/2021,2.26E-08,
3/1/2021,3.34E-08,
5/1/2021,3.83E-08,
6/1/2021,8.55E-09,
7/1/2021,1.11E-08,
9/1/2021,2.96E-08,
10/1/2021,1.42E-07,
11/1/2021,1.21E-07,
12/1/2021,1.18E-07,
1/1/2022,1.87E-07,
2/1/2022,1.91E-07,
3/1/2022,1.72E-07,
4/1/2022,7.99E-08,
5/1/2022,9.24E-08,
6/1/2022,8.05E-08,
7/1/2022,9.90E-08,
8/1/2022,9.21E-08,
9/1/2022,1.68E-07,
10/1/2022,1.91E-07,
11/1/2022,2.40E-07,
12/1/2022,2.63E-07,
1/1/2023,1.81E-07,
2/1/2023,1.40E-07,
3/1/2023,3.05E-07,
4/1/2023,4.38E-07,
5/1/2023,2.86E-07,
6/1/2023,1.43E-07,
7/1/2023,1.18E-07,
8/1/2023,1.72E-07,
9/1/2023,2.19E-07,
10/1/2023,1.57E-07,
11/1/2023,1.03E-07,
12/1/2023,1.43E-07,
1/1/2024,1.09E-07,
2/1/2024,5.15E-08,
3/1/2024,3.15E-08,
4/1/2024,2.19E-08,
7/1/2024,2.11E-08,
8/1/2024,2.48E-08,
1/1/2025,6.84E-08,
